Module name, underlying :term:`Universal Function <ufunc>`
Add / ColsAdd / AddReduce, `add <https://numpy.org/doc/stable/reference/generated/numpy.add.html>`_
Arctan2 / ColsArctan2 / Arctan2Reduce, `arctan2 <https://numpy.org/doc/stable/reference/generated/numpy.arctan2.html>`_
BitwiseAnd / ColsBitwiseAnd / BitwiseAndReduce, `bitwise_and <https://numpy.org/doc/stable/reference/generated/numpy.bitwise_and.html>`_
BitwiseOr / ColsBitwiseOr / BitwiseOrReduce, `bitwise_or <https://numpy.org/doc/stable/reference/generated/numpy.bitwise_or.html>`_
BitwiseXor / ColsBitwiseXor / BitwiseXorReduce, `bitwise_xor <https://numpy.org/doc/stable/reference/generated/numpy.bitwise_xor.html>`_
Copysign / ColsCopysign / CopysignReduce, `copysign <https://numpy.org/doc/stable/reference/generated/numpy.copysign.html>`_
Divide / ColsDivide / DivideReduce, `divide <https://numpy.org/doc/stable/reference/generated/numpy.divide.html>`_
Divmod / ColsDivmod / DivmodReduce, `divmod <https://numpy.org/doc/stable/reference/generated/numpy.divmod.html>`_
Equal / ColsEqual / EqualReduce, `equal <https://numpy.org/doc/stable/reference/generated/numpy.equal.html>`_
FloatPower / ColsFloatPower / FloatPowerReduce, `float_power <https://numpy.org/doc/stable/reference/generated/numpy.float_power.html>`_
FloorDivide / ColsFloorDivide / FloorDivideReduce, `floor_divide <https://numpy.org/doc/stable/reference/generated/numpy.floor_divide.html>`_
Fmax / ColsFmax / FmaxReduce, `fmax <https://numpy.org/doc/stable/reference/generated/numpy.fmax.html>`_
Fmin / ColsFmin / FminReduce, `fmin <https://numpy.org/doc/stable/reference/generated/numpy.fmin.html>`_
Fmod / ColsFmod / FmodReduce, `fmod <https://numpy.org/doc/stable/reference/generated/numpy.fmod.html>`_
Gcd / ColsGcd / GcdReduce, `gcd <https://numpy.org/doc/stable/reference/generated/numpy.gcd.html>`_
Greater / ColsGreater / GreaterReduce, `greater <https://numpy.org/doc/stable/reference/generated/numpy.greater.html>`_
GreaterEqual / ColsGreaterEqual / GreaterEqualReduce, `greater_equal <https://numpy.org/doc/stable/reference/generated/numpy.greater_equal.html>`_
Heaviside / ColsHeaviside / HeavisideReduce, `heaviside <https://numpy.org/doc/stable/reference/generated/numpy.heaviside.html>`_
Hypot / ColsHypot / HypotReduce, `hypot <https://numpy.org/doc/stable/reference/generated/numpy.hypot.html>`_
Lcm / ColsLcm / LcmReduce, `lcm <https://numpy.org/doc/stable/reference/generated/numpy.lcm.html>`_
Ldexp / ColsLdexp / LdexpReduce, `ldexp <https://numpy.org/doc/stable/reference/generated/numpy.ldexp.html>`_
LeftShift / ColsLeftShift / LeftShiftReduce, `left_shift <https://numpy.org/doc/stable/reference/generated/numpy.left_shift.html>`_
Less / ColsLess / LessReduce, `less <https://numpy.org/doc/stable/reference/generated/numpy.less.html>`_
LessEqual / ColsLessEqual / LessEqualReduce, `less_equal <https://numpy.org/doc/stable/reference/generated/numpy.less_equal.html>`_
Logaddexp / ColsLogaddexp / LogaddexpReduce, `logaddexp <https://numpy.org/doc/stable/reference/generated/numpy.logaddexp.html>`_
Logaddexp2 / ColsLogaddexp2 / Logaddexp2Reduce, `logaddexp2 <https://numpy.org/doc/stable/reference/generated/numpy.logaddexp2.html>`_
LogicalAnd / ColsLogicalAnd / LogicalAndReduce, `logical_and <https://numpy.org/doc/stable/reference/generated/numpy.logical_and.html>`_
LogicalOr / ColsLogicalOr / LogicalOrReduce, `logical_or <https://numpy.org/doc/stable/reference/generated/numpy.logical_or.html>`_
LogicalXor / ColsLogicalXor / LogicalXorReduce, `logical_xor <https://numpy.org/doc/stable/reference/generated/numpy.logical_xor.html>`_
Maximum / ColsMaximum / MaximumReduce, `maximum <https://numpy.org/doc/stable/reference/generated/numpy.maximum.html>`_
Minimum / ColsMinimum / MinimumReduce, `minimum <https://numpy.org/doc/stable/reference/generated/numpy.minimum.html>`_
Mod / ColsMod / ModReduce, `mod <https://numpy.org/doc/stable/reference/generated/numpy.mod.html>`_
Multiply / ColsMultiply / MultiplyReduce, `multiply <https://numpy.org/doc/stable/reference/generated/numpy.multiply.html>`_
Nextafter / ColsNextafter / NextafterReduce, `nextafter <https://numpy.org/doc/stable/reference/generated/numpy.nextafter.html>`_
NotEqual / ColsNotEqual / NotEqualReduce, `not_equal <https://numpy.org/doc/stable/reference/generated/numpy.not_equal.html>`_
Power / ColsPower / PowerReduce, `power <https://numpy.org/doc/stable/reference/generated/numpy.power.html>`_
Remainder / ColsRemainder / RemainderReduce, `remainder <https://numpy.org/doc/stable/reference/generated/numpy.remainder.html>`_
RightShift / ColsRightShift / RightShiftReduce, `right_shift <https://numpy.org/doc/stable/reference/generated/numpy.right_shift.html>`_
Subtract / ColsSubtract / SubtractReduce, `subtract <https://numpy.org/doc/stable/reference/generated/numpy.subtract.html>`_
TrueDivide / ColsTrueDivide / TrueDivideReduce, `true_divide <https://numpy.org/doc/stable/reference/generated/numpy.true_divide.html>`_
